MLS,St,Status_Date,P_Type,Address,Municipality,City,Area,CDOM,Price,Bedrooms,Bth,Square_Footage,Acres,Age,Listing_Office_ID,Total_Baths,Full_Baths,Half_Baths,Standardization,RetAddr1,RetAddr2,RetCity,RetState,RetZipCode,RetHyphen,RetPlus4
10034856,X,1/31/2011 0:00,RESI,1233 Takara Ct,Town And Country,Town and Country,168,230,800000,4,7 (4 3),3960,0.83,33,SLEC09,7,4,3,-,1233 TAKARA CT,,TWN AND CNTRY,MO,,-,
10010469,X,3/31/2011 0:00,RESI,12843 Topping Manor Dr,Town And Country,Town and Country,168,402,819000,5,6 (4 2),4931,1.07,40,PRUA02,6,4,2,-,12843 TOPPING MANOR DR,,TWN AND CNTRY,MO,63131,-,1815
10020809,X,2/28/2011 0:00,RESI,1824 Topping Rd,Town And Country,Town and Country,168,241,850000,5,4 (3 1),3919,1.38,65,CBG 11,4,3,1,-,1824 TOPPING RD,,TWN AND CNTRY,MO,63131,-,1842
10005165,X,1/27/2011 0:00,RESI,145 Hawthorne Estates Dr,Town And Country,Town and Country,168,158,900000,4,4 (3 1),4274,1,18,RMXR04,4,3,1,-,145 HAWTHORNE ESTATES DR,,TWN AND CNTRY,MO,,-,
10030293,X,2/28/2011 0:00,RESI,12841 Dubon Lane,Town And Country,Town and Country,168,180,1200000,5,6 (4 2),4362,1.28,30,CBG 24,6,4,2,-,12841 DUBON LN,,TWN AND CNTRY,MO,63131,-,1414
10049404,X,3/15/2011 0:00,RESI,10 Country Life Acres,Country Life Acres,Town and Country,168,113,1325000,5,5 (4 1),5831,2,45,MCFE01,5,4,1,-,10 COUNTRY LIFE ACRES,,TWN AND CNTRY,MO,63131,-,1403
10065558,X,2/28/2011 0:00,RESI,13217 Takara Dr,Town And Country,Town and Country,168,82,1975000,6,7 (4 3),5918,1.2,15,CBG 11,7,4,3,-,13217 TAKARA DR,,TWN AND CNTRY,MO,63131,-,1009
10046870,X,2/11/2011 0:00,RESI,18 West Jackson (leased) Rd,Webster Groves,Webster Groves,256,132,249900,3,2 (1 1),1512,0.16,109,MADA01,2,1,1,-,18 W JACKSON (LEASED) RD,,WEBSTER GROVS,MO,,-,
10065779,X,3/7/2011 0:00,RESI,3616 Park Crest Dr,Unincorporated,Unincorporated,331,85,131500,3,1 (1 0),988,0.18,65,PRAD01,1,1,0,-,3616 PARK CREST DR,,UNINCORPORATD,MO,,-,
80053340,X,2/26/2011 0:00,RESI,4866 4872 Lemay Ferry Rd,Unincorporated,St Louis,331,899,459000,4,3 (2 1),2980,1.74,61,CBG 29,3,2,1,-,4866 4872 LEMAY FERRY RD,,ST LOUIS,MO,,-,
10028989,X,1/1/2011 0:00,RESI,795 Holland Rd,Unincorporated,Ballwin,348,176,2949000,4,(0 0),6000,33.12,0,CBG 11,,0,0,-,795 HOLLAND RD,,BALLWIN,MO,,-,
10001019,X,1/14/2011 0:00,RESI,1527 Heritage Valley Dr,Unincorporated,Unincorporated,349,370,285000,3,2 (2 0),2135,0.24,0,AMRH01,2,2,0,-,1527 HERITAGE VALLEY DR,,UNINCORPORATD,MO,,-,
10051810,X,6/8/2011 0:00,RESI,1600 Nemnich Ave,Unincorporated,Unincorporated,31,273,11999,3,2 (1 1),1480,0.41,63,SERI01,2,1,1,-,1600 NEMNICH AVE,,UNINCORPORATD,MO,,-,
10064006,X,6/30/2011 0:00,RESI,10149 Mayfair Dr,Unincorporated,Unincorporated,31,21,39495,3,2 (1 1),864,0.17,1971,ITGP01,2,1,1,-,10149 MAYFAIR DR,,UNINCORPORATD,MO,,-,
10063923,X,5/30/2011 0:00,RESI,2145 Kappel Dr,Unincorporated,Unincorporated,31,188,39900,3,1 (1 0),985,0.14,79,CORN02,1,1,0,-,2145 KAPPEL DR,,UNINCORPORATD,MO,,-,
10047630,X,6/9/2011 0:00,RESI,1341 Criterion Ave,Unincorporated,Hazelwood,46,0,30500,3,1 (1 0),1020,0.26,58,MADA01,1,1,0,-,1341 CRITERION AVE,,HAZELWOOD,MO,,-,
10030679,X,5/23/2011 0:00,RESI,10805 Langford Dr,Unincorporated,Hazelwood,46,296,97900,0,3 (2 1),1073,0.14,59,TRDT01,3,2,1,-,10805 LANGFORD DR,,HAZELWOOD,MO,,-,
10050026,X,5/24/2011 0:00,RESI,12300 Lusher,Unincorporated,Unincorporated,46,259,100000,3,3 (3 0),1637,3.23,39,CHES01,3,3,0,-,12300 LUSHER,,UNINCORPORATD,MO,,-,
10056919,X,6/17/2011 0:00,RESI,150 Becker Dr,Hazelwood,Hazelwood,63,252,25000,1,1 (1 0),560,0.14,91,SLEC13,1,1,0,-,150 BECKER DR,,HAZELWOOD,MO,,-,
11001459,X,5/9/2011 0:00,RESI,148 Anistasia Dr,Hazelwood,Hazelwood,63,120,40000,3,2 (2 0),1376,0.14,63,STVN01,2,2,0,-,148 ANISTASIA DR,,HAZELWOOD,MO,63135,-,1143
11013062,X,6/22/2011 0:00,RESI,149 Williams St,Hazelwood,Hazelwood,63,90,44000,3,1 (1 0),1075,0.14,65,MIDS01,1,1,0,-,149 WILLIAMS ST,,HAZELWOOD,MO,,-,
11007634,X,5/18/2011 0:00,RESI,201 Becker Dr,Hazelwood,Hazelwood,63,89,44500,3,1 (1 0),962,0.22,26,CBG 11,1,1,0,-,201 BECKER DR,,HAZELWOOD,MO,,-,
10065851,X,4/8/2011 0:00,RESI,67 Williams Blvd,Hazelwood,Hazelwood,63,119,45000,3,1 (1 0),875,0.14,64,RMMG01,1,1,0,-,67 WILLIAMS BLVD,,HAZELWOOD,MO,63135,-,1047
10058183,X,5/7/2011 0:00,RESI,12921 Pingry,Town And Country,Town and Country,168,188,389900,4,3 (2 1),2072,1.01,49,DIEL01,3,2,1,-,12921 PINGRY,,TWN AND CNTRY,MO,,-,
10035772,X,5/1/2011 0:00,RESI,12866 Topping Manor Dr,Town And Country,Town and Country,168,317,510000,4,4 (3 1),2703,1,41,CBG 28,4,3,1,-,12866 TOPPING MANOR DR,,TWN AND CNTRY,MO,63131,-,1815
80059193,X,4/1/2011 0:00,RESI,1674 Mason Knoll Rd,Town And Country,Town and Country,168,712,550000,5,4 (3 1),3581,0.57,36,MITR01,4,3,1,-,1674 MASON KNOLL RD,,TWN AND CNTRY,MO,63131,-,1219
10064324,X,5/13/2011 0:00,RESI,12130 Carberry,Town And Country,Town and Country,168,165,725000,4,4 (3 1),3471,1,35,CBG 12,4,3,1,-,12130 CARBERRY,,TWN AND CNTRY,MO,,-,
11012953,X,6/30/2011 0:00,RESI,854 Revere Dr,Town And Country,Town and Country,168,82,869000,4,6 (4 2),3665,1.28,19,RMXR04,6,4,2,-,854 REVERE DR,,TWN AND CNTRY,MO,,-,
10047809,X,6/30/2011 0:00,RESI,2020 Barrett Station Rd,Town And Country,Town and Country,168,289,875000,4,5 (4 1),3923,1.5,23,RMXR01,5,4,1,-,2020 BARRETT STATION RD,,TWN AND CNTRY,MO,63131,-,1603
10057459,X,4/5/2011 0:00,RESI,12826 Topping Woods Estate Dr,Town And Country,Town and Country,168,160,955000,3,7 (4 3),5829,1,26,SCOT01,7,4,3,-,12826 TOPPING WOODS ESTATE DR,,TWN AND CNTRY,MO,63131,-,1841
10046869,X,6/22/2011 0:00,RESI,1823 Topping Rd,Town And Country,Town and Country,168,223,1175000,5,7 (6 1),5395,1.5,77,KCRG01,7,6,1,-,1823 TOPPING RD,,TWN AND CNTRY,MO,63131,-,1819
10034140,X,6/8/2011 0:00,RESI,15 Long Meadows Lane,Town And Country,Town and Country,168,364,1590000,5,8 (6 2),6600,1.07,12,BAUP02,8,6,2,-,15 LONG MEADOWS LN,,TWN AND CNTRY,MO,63131,-,3014
10059434,X,4/6/2011 0:00,RESI,2425 Oak Springs Lane,Town And Country,Town and Country,168,162,1699900,4,6 (4 2),5164,0.99,17,MADA01,6,4,2,-,2425 OAK SPRINGS LN,,TWN AND CNTRY,MO,63131,-,1131
10049718,X,5/14/2011 0:00,RESI,1939 Windmoor,Town And Country,Town and Country,196,258,640000,5,6 (4 2),4758,1.02,40,PRUA02,6,4,2,-,1939 WINDMOOR,,TWN AND CNTRY,MO,,-,
10025269,X,4/22/2011 0:00,RESI,230 TBB Lithia,Rock Hill,Webster Groves,256,364,172500,2,3 (2 1),1400,0.13,0,ALRU01,3,2,1,-,230 TBB LITHIA,,WEBSTER GROVS,MO,,-,
10063755,X,5/21/2011 0:00,RESI,7405 Cheshire Lane,Unincorporated,Unincorporated,271,30,150000,3,2 (2 0),1284,0.19,64,CBG 03,2,2,0,-,7405 CHESHIRE LN,,UNINCORPORATD,MO,63123,-,2126
10046766,X,6/16/2011 0:00,RESI,10451 Schuessler Rd,Unincorporated,Concord Village,316,307,104000,3,1 (1 0),1803,1.56,78,RULE01,1,1,0,-,10451 SCHUESSLER RD,,CONCORD VLLGE,MO,,-,
10061382,X,5/30/2011 0:00,RESI,11211 Fawnway Dr,Unincorporated,Unincorporated,316,207,144900,3,2 (1 1),1026,0.17,54,DPEV01,2,1,1,-,11211 FAWNWAY DR,,UNINCORPORATD,MO,,-,
11001460,X,4/30/2011 0:00,RESI,7 Toddington,Unincorporated,Unincorporated,316,106,497000,4,4 (3 1),3642,0.24,17,CORN02,4,3,1,-,7 TODDINGTON,,UNINCORPORATD,MO,,-,
10050601,X,5/31/2011 0:00,RESI,9977 Tesson Creek Estates Dr,Unincorporated,Unincorporated,331,101,198900,3,2 (2 0),1574,0.23,26,MADA01,2,2,0,-,9977 TESSON CREEK ESTATES DR,,UNINCORPORATD,MO,63123,-,6298
90036066,X,6/27/2011 0:00,RESI,3901 TBB Autumn Farms Dr,Wildwood,Wildwood,347,720,1590000,0,4 (3 1),4229,6.02,0,RLGR01,4,3,1,-,3901 TBB AUTUMN FARMS DR,,WILDWOOD,MO,,-,
11015585,S,9/26/2011 0:00,RESI,1000 Farmview Dr,Unincorporated,Hazelwood,46,101,11900,3,1 (1 0),960,0.5,66,ROUT01,1,1,0,-,1000 FARMVIEW DR,,HAZELWOOD,MO,,-,
11035635,S,8/25/2011 0:00,RESI,12041 Castilon Ave,Unincorporated,Hazelwood,46,13,30000,4,2 (2 0),1286,0.22,43,GLDR01,2,2,0,-,12041 CASTILON AVE,,HAZELWOOD,MO,,-,
11028211,S,9/16/2011 0:00,RESI,2197 Rountree Dr,Unincorporated,Hazelwood,46,64,69000,3,2 (2 0),1333,0.19,50,BRKO,2,2,0,-,2197 ROUNTREE DR,,HAZELWOOD,MO,,-,
11016090,S,9/22/2011 0:00,RESI,2346 Outlook Dr,Unincorporated,Hazelwood,46,173,92900,3,3 (3 0),1189,0.24,47,WALL01,3,3,0,-,2346 OUTLOOK DR,,HAZELWOOD,MO,,-,
11025557,S,9/21/2011 0:00,RESI,5623 Paw Paw Ct,Unincorporated,St Louis,46,117,116000,4,2 (2 0),1882,0.23,47,CBG 11,2,2,0,-,5623 PAW PAW CT,,ST LOUIS,MO,63034,-,2641
11025056,S,9/7/2011 0:00,RESI,11950 Roseview ($2000 AGENT BONUS) Lane,Unincorporated,St Louis,46,383,128900,3,3 (3 0),1801,0.19,53,MHMR01,3,3,0,-,11950 ROSEVIEW ($2000 AGENT BONUS) LN,,ST LOUIS,MO,,-,
11016830,S,9/30/2011 0:00,RESI,1572 Fountainhead Lane,Unincorporated,Unincorporated,46,352,315500,4,5 (3 2),4245,3,23,RXSB01,5,3,2,-,1572 FOUNTAINHEAD LN,,UNINCORPORATD,MO,,-,
11002546,S,9/16/2011 0:00,RESI,14332 Jamestown Bay Dr,Unincorporated,Unincorporated,47,173,58300,3,2 (2 0),1364,0.21,25,CBG 06,2,2,0,-,14332 JAMESTOWN BAY DR,,UNINCORPORATD,MO,,-,
11023528,S,7/15/2011 0:00,RESI,264 Gladys Ave,Hazelwood,Hazelwood,48,51,17200,3,1 (1 0),1025,0.14,72,CBG 06,1,1,0,-,264 GLADYS AVE,,HAZELWOOD,MO,63135,-,1031
11033554,S,8/5/2011 0:00,RESI,237 Becker Dr,Hazelwood,Hazelwood,48,9,20500,3,2 (2 0),888,0.14,51,CBG 06,2,2,0,-,237 BECKER DR,,HAZELWOOD,MO,,-,
11032392,S,9/9/2011 0:00,RESI,216 Williams Blvd,Hazelwood,Hazelwood,63,6,7100,3,1 (1 0),982,0.14,68,BRKO,1,1,0,-,216 WILLIAMS BLVD,,HAZELWOOD,MO,63135,-,1045
11033901,S,7/22/2011 0:00,RESI,202 Manning Ave,Hazelwood,Hazelwood,63,7,10000,3,1 (1 0),768,0.16,65,GTRC01,1,1,0,-,202 MANNING AVE,,HAZELWOOD,MO,,-,
11033404,S,8/18/2011 0:00,RESI,109 Young Dr,Hazelwood,Hazelwood,63,34,14200,3,1 (1 0),1008,0.14,57,CBG 06,1,1,0,-,109 YOUNG DR,,HAZELWOOD,MO,63135,-,1138
10067843,S,8/29/2011 0:00,RESI,190 Anistasia Dr,Hazelwood,Hazelwood,63,107,15000,4,2 (2 0),864,0.14,68,REOX01,2,2,0,-,190 ANISTASIA DR,,HAZELWOOD,MO,,-,
11020204,S,7/1/2011 0:00,RESI,6 Tamzine,Unincorporated,St Louis,64,70,135000,5,3 (3 0),1672,0.2,45,MCVY01,3,3,0,-,6 TAMZINE,,ST LOUIS,MO,,-,
11025732,S,8/19/2011 0:00,RESI,11209 Lindade Dr,Unincorporated,Unincorporated,76,85,215500,4,4 (3 1),2511,2,56,KWRW01,4,3,1,-,11209 LINDADE DR,,UNINCORPORATD,MO,,-,
11011906,S,7/6/2011 0:00,RESI,1335 Momarte Lane,Unincorporated,Unincorporated,76,105,226000,4,3 (2 1),2494,0.35,31,ARKR01,3,2,1,-,1335 MOMARTE LN,,UNINCORPORATD,MO,,-,
11030997,S,8/15/2011 0:00,RESI,2665 Sims Ave,Overland,Maryland Heights,91,35,14500,3,1 (1 0),1458,0.24,90,RMMG01,1,1,0,-,2665 SIMS AVE,,MARYLND HGHTS,MO,63114,-,3136
11031272,S,9/19/2011 0:00,RESI,10905 Dautel Manor Ct,Unincorporated,Unincorporated,151,79,610000,6,6 (4 2),2883,0.3,17,RETC01,6,4,2,-,10905 DAUTEL MANOR CT,,UNINCORPORATD,MO,,-,
11034378,S,8/26/2011 0:00,RESI,11650 Holly Springs Dr,Unincorporated,Unincorporated,166,3,193000,3,2 (2 0),1643,0.21,52,MCAR03,2,2,0,-,11650 HOLLY SPRINGS DR,,UNINCORPORATD,MO,,-,
11029615,S,7/27/2011 0:00,RESI,2104 Riding Spur Dr,Maryland Heights,Maryland Heights,166,9,200000,3,4 (2 2),2064,0.16,30,REED,4,2,2,-,2104 RIDING SPUR DR,,MARYLND HGHTS,MO,,-,
11025237,S,9/15/2011 0:00,RESI,13239 Weatherfield Dr,Maryland Heights,Maryland Heights,166,104,375000,4,3 (2 1),3208,0.5,23,WLRE01,3,2,1,-,13239 WEATHERFIELD DR,,MARYLND HGHTS,MO,,-,
11017407,S,7/19/2011 0:00,RESI,13006 Mason Estates Ct,Town And Country,Town and Country,167,41,490000,4,4 (3 1),2606,0.33,35,CBG 11,4,3,1,-,13006 MASON ESTATES CT,,TWN AND CNTRY,MO,,-,
11028822,S,8/16/2011 0:00,RESI,1451 Topping Rd,Town And Country,Town and Country,168,12,270000,4,3 (3 0),2728,1.14,62,KLFD,3,3,0,-,1451 TOPPING RD,,TWN AND CNTRY,MO,,-,
11025817,S,9/13/2011 0:00,RESI,1100 Westmoor,Town And Country,Town and Country,168,81,307500,4,2 (2 0),2153,1.03,54,LMRK01,2,2,0,-,1100 WESTMOOR,,TWN AND CNTRY,MO,,-,
11023089,S,8/5/2011 0:00,RESI,10 West Point Lane,Town And Country,Town and Country,168,80,378500,3,3 (2 1),2281,1.01,61,CBPR01,3,2,1,-,10 W POINT LN,,TWN AND CNTRY,MO,63131,-,3110
11020749,S,7/28/2011 0:00,RESI,6 Bopp Lane,Town And Country,Town and Country,168,93,390000,4,2 (2 0),1984,1.08,60,RMXR04,2,2,0,-,6 BOPP LN,,TWN AND CNTRY,MO,63131,-,3115
11025862,S,8/24/2011 0:00,RESI,3000 Trafalgar Dr,Town And Country,Town and Country,168,74,395000,3,4 (2 2),3045,1.06,57,CBG 11,4,2,2,-,3000 TRAFALGAR DR,,TWN AND CNTRY,MO,63131,-,2535
11020332,S,7/14/2011 0:00,RESI,12925 Taunton Ct,Town And Country,Town and Country,168,61,405000,4,3 (2 1),2990,1.02,49,PRUA05,3,2,1,-,12925 TAUNTON CT,,TWN AND CNTRY,MO,63131,-,1308
11003006,S,7/26/2011 0:00,RESI,1625 Mason Knoll Rd,Town And Country,Town and Country,168,128,416000,5,4 (2 2),3128,1.02,40,CBG 11,4,2,2,-,1625 MASON KNOLL RD,,TWN AND CNTRY,MO,,-,
11023524,S,7/29/2011 0:00,RESI,13 Roclare Lane,Town And Country,Town and Country,168,51,445000,6,4 (4 0),2700,1.33,56,POPR01,4,4,0,-,13 ROCLARE LN,,TWN AND CNTRY,MO,63131,-,1100
11022128,S,8/10/2011 0:00,RESI,1542 Mason Valley Rd,Town And Country,Town and Country,168,98,470000,4,3 (2 1),2774,0.6,43,SLEC04,3,2,1,-,1542 MASON VALLEY RD,,TWN AND CNTRY,MO,63131,-,1227
11027136,S,8/26/2011 0:00,RESI,13663 Armstead Dr,Town And Country,Town and Country,168,61,550000,4,4 (2 2),3154,0.76,44,MCAR01,4,2,2,-,13663 ARMSTEAD DR,,TWN AND CNTRY,MO,63131,-,1514
11030118,S,8/3/2011 0:00,RESI,2 Country Aire Dr,Town And Country,Town and Country,168,28,580000,4,5 (4 1),3466,0.88,68,MCFE01,5,4,1,-,2 COUNTRY AIRE DR,,TWN AND CNTRY,MO,63131,-,2318
11027612,S,8/30/2011 0:00,RESI,12826 Topping Manor Dr,Town And Country,Town and Country,168,83,665000,6,8 (6 2),4008,1.13,30,CBG 11,8,6,2,-,12826 TOPPING MANOR DR,,TWN AND CNTRY,MO,,-,
10055417,S,9/29/2011 0:00,RESI,12817 Dubon Lane,Town And Country,Town and Country,168,301,1050000,3,6 (5 1),4589,1.45,30,CBG 11,6,5,1,-,12817 DUBON LN,,TWN AND CNTRY,MO,63131,-,1414
11025330,S,7/14/2011 0:00,RESI,2327 Clifton Forge Dr,Town And Country,Town and Country,168,43,1077500,6,6 (5 1),4750,1.04,36,MANN01,6,5,1,-,2327 CLIFTON FORGE DR,,TWN AND CNTRY,MO,,-,
10052348,S,9/29/2011 0:00,RESI,2400 Town and Country,Town And Country,Town and Country,168,315,1125000,5,7 (4 3),5674,1.08,12,DAGE01,7,4,3,-,2400 TOWN AND COUNTRY,,TWN AND CNTRY,MO,,-,
11009065,S,7/25/2011 0:00,RESI,25 Chapel Hill Estates,Town And Country,Town and Country,168,123,1325000,5,6 (4 2),6066,1.03,13,CBPR01,6,4,2,-,25 CHAPEL HILL ESTS,,TWN AND CNTRY,MO,,-,
11026623,S,9/20/2011 0:00,RESI,13345 Buckland Hall Rd,Town And Country,Town and Country,168,554,1400000,5,8 (6 2),6635,1.84,23,CBG 11,8,6,2,-,13345 BUCKLAND HALL RD,,TWN AND CNTRY,MO,63131,-,1214
11019053,S,7/27/2011 0:00,RESI,2425 Oak Springs Lane,Town And Country,Town and Country,168,235,1470000,4,6 (4 2),5164,0.99,17,MCAR03,6,4,2,-,2425 OAK SPRINGS LN,,TWN AND CNTRY,MO,63131,-,1131
11023331,S,7/22/2011 0:00,RESI,1816 Springdale Acres Lane,Town And Country,Town and Country,196,74,720000,5,6 (5 1),6175,1.04,20,SLEC04,6,5,1,-,1816 SPRINGDALE ACRES LN,,TWN AND CNTRY,MO,63131,-,3627
11054003,S,12/14/2011 0:00,RESI,204 Glen Garry Rd,Unincorporated,Unincorporated,31,7,16000,4,1 (1 0),1041,0.19,64,JERR01,1,1,0,-,204 GLEN GARRY RD,,UNINCORPORATD,MO,,-,
11050655,S,12/28/2011 0:00,RESI,1220 Reale Ave,Unincorporated,Unincorporated,46,56,13000,2,1 (1 0),864,0.12,58,RMXR03,1,1,0,-,1220 REALE AVE,,UNINCORPORATD,MO,,-,
11041080,S,10/6/2011 0:00,RESI,2032 Jenner Lane,Unincorporated,Hazelwood,46,12,33000,2,2 (2 0),1362,0.24,54,BRKO,2,2,0,-,2032 JENNER LN,,HAZELWOOD,MO,,-,
11010437,S,10/15/2011 0:00,RESI,2025 Rochelle Dr,Unincorporated,Unincorporated,46,213,35000,3,2 (2 0),1722,0.39,55,STR 01,2,2,0,-,2025 ROCHELLE DR,,UNINCORPORATD,MO,,-,
11004605,S,10/18/2011 0:00,RESI,11512 Prendergast Lane,Unincorporated,Unincorporated,46,246,110000,4,4 (3 1),2268,0.59,47,LMRE01,4,3,1,-,11512 PRENDERGAST LN,,UNINCORPORATD,MO,,-,
11043118,S,11/10/2011 0:00,RESI,1938 Lakemont Lane,Unincorporated,Unincorporated,46,49,115000,3,3 (3 0),1456,0.17,45,MHMR01,3,3,0,-,1938 LAKEMONT LN,,UNINCORPORATD,MO,,-,
11042359,S,12/5/2011 0:00,RESI,120 Kendl Ct,Hazelwood,Hazelwood,48,552,345000,6,5 (4 1),4398,0.49,12,MORE01,5,4,1,-,120 KENDL CT,,HAZELWOOD,MO,63031,-,5667
11052855,S,12/13/2011 0:00,RESI,1702 Legend Lane Ct,Unincorporated,Unincorporated,76,6,162000,3,2 (2 0),1506,0.17,40,KLFD,2,2,0,-,1702 LEGEND LANE CT,,UNINCORPORATD,MO,,-,
11047947,S,10/31/2011 0:00,RESI,116 Willow Brook Dr,Unincorporated,Unincorporated,76,13,163500,4,3 (3 0),1456,0.29,59,CBG 15,3,3,0,-,116 WILLOW BROOK DR,,UNINCORPORATD,MO,,-,
10059346,S,10/20/2011 0:00,RESI,172 Forest Brook Lane,Unincorporated,Unincorporated,76,63,190000,4,3 (3 0),2016,0.39,55,KWRW01,3,3,0,-,172 FOREST BROOK LN,,UNINCORPORATD,MO,,-,
11056513,S,12/27/2011 0:00,RESI,11405 Tiverton Ct,Unincorporated,Unincorporated,76,151,332500,5,4 (3 1),2405,0.33,24,PRUA02,4,3,1,-,11405 TIVERTON CT,,UNINCORPORATD,MO,,-,
11053976,S,12/30/2011 0:00,RESI,16 Holiday Lane,Town And Country,Town and Country,151,37,675000,5,5 (4 1),8500,1,18,DIEL01,5,4,1,-,16 HOLIDAY LN,,TWN AND CNTRY,MO,63131,-,3238
11028992,S,10/20/2011 0:00,RESI,13410 Beagle Lane,Chesterfield,Chesterfield,167,14,108000,3,3 (2 1),1598,0.23,53,ANTR01,3,2,1,-,13410 BEAGLE LN,,CHESTERFIELD,MO,,-,
11049837,S,12/2/2011 0:00,RESI,216 Sunway Lane,Town And Country,Town and Country,167,5,400000,4,3 (2 1),3335,1.28,47,PRUA02,3,2,1,-,216 SUNWAY LN,,TWN AND CNTRY,MO,,-,
11011393,S,10/21/2011 0:00,RESI,440 Killearn Lane,Town And Country,Town and Country,167,185,630000,4,6 (5 1),3333,0.99,43,PRUA05,6,5,1,-,440 KILLEARN LN,,TWN AND CNTRY,MO,,-,
